,nav
2022-01-04,1.0
2022-01-05,1.0
2022-01-06,1.0
2022-01-07,1.0
2022-01-10,1.0
2022-01-11,1.0
2022-01-12,1.0
2022-01-13,1.0
2022-01-14,1.0
2022-01-17,1.0
2022-01-18,1.0
2022-01-19,1.0
2022-01-20,1.0
2022-01-21,1.0
2022-01-24,1.0
2022-01-25,1.0
2022-01-26,1.0
2022-01-27,1.0
2022-01-28,1.0
2022-02-07,1.0
2022-02-08,1.0
2022-02-09,1.0
2022-02-10,1.0
2022-02-11,1.0
2022-02-14,1.0
2022-02-15,1.0
2022-02-16,1.0
2022-02-17,1.0
2022-02-18,1.0
2022-02-21,1.0
2022-02-22,0.99729204688
2022-02-23,1.00171680688
2022-02-24,0.98180538688
2022-02-25,0.9906549068800001
2022-02-28,0.9906549068800001
2022-03-01,1.0108704857800002
2022-03-02,1.00861900578
2022-03-03,1.0063675257800002
2022-03-04,1.00411604578
2022-03-07,1.0063675257800002
2022-03-08,0.9908429339100001
2022-03-09,0.9797595839100002
2022-03-10,0.9841929239100001
2022-03-11,0.9841929239100001
2022-03-14,0.9731095739100002
2022-03-15,0.95759288391
2022-03-16,0.96645956391
2022-03-17,0.97532624391
2022-03-18,0.97975958391
2022-03-21,0.98197625391
2022-03-22,0.9814974531899999
2022-03-23,0.9814974531899999
2022-03-24,0.9814974531899999
2022-03-25,0.9814974531899999
2022-03-28,0.9814974531899999
2022-03-29,0.9814974531899999
2022-03-30,0.9814974531899999
2022-03-31,0.9814974531899999
2022-04-01,0.9814974531899999
2022-04-06,0.9814974531899999
2022-04-07,0.97508011049
2022-04-08,0.9846592504899999
2022-04-11,0.96751890049
2022-04-12,0.96651529049
2022-04-13,0.9653060804899999
2022-04-14,0.9758267056100001
2022-04-15,0.9830169056100001
2022-04-18,0.96493793561
2022-04-19,0.96402115561
2022-04-20,0.9545736056100002
2022-04-21,0.9512718310000001
2022-04-22,0.9676332010000002
2022-04-25,0.924713271
2022-04-26,0.918201791
2022-04-27,0.9114875710000001
2022-04-28,0.90909607037
2022-04-29,0.9077145303699999
2022-05-05,0.9022400303700001
2022-05-06,0.8711745503700001
2022-05-09,0.8725098503700002
2022-05-10,0.8688640316300001
2022-05-11,0.8688640316300001
2022-05-12,0.8688640316300001
2022-05-13,0.8688640316300001
2022-05-16,0.8688640316300001
2022-05-17,0.8688640316300001
2022-05-18,0.8688640316300001
2022-05-19,0.8688640316300001
2022-05-20,0.8688640316300001
2022-05-23,0.8688640316300001
2022-05-24,0.8688640316300001
2022-05-25,0.8688640316300001
2022-05-26,0.8688640316300001
2022-05-27,0.8688640316300001
2022-05-30,0.8688640316300001
2022-05-31,0.8688640316300001
2022-06-01,0.8688640316300001
2022-06-02,0.8688640316300001
2022-06-06,0.8688640316300001
2022-06-07,0.8688640316300001
2022-06-08,0.8616170252300002
2022-06-09,0.8596689052300001
2022-06-10,0.8606429652300002
2022-06-13,0.8509023652300001
2022-06-14,0.8577207852300003
2022-06-15,0.8638191645100003
2022-06-16,0.8624862645100002
2022-06-17,0.8588896745100003
2022-06-20,0.8687486545100002
2022-06-21,0.8618198145100001
2022-06-22,0.8621726668800002
2022-06-23,0.8621726668800002
2022-06-24,0.8621726668800002
2022-06-27,0.8621726668800002
2022-06-28,0.8621726668800002
2022-06-29,0.88484687014
2022-06-30,0.89671761014
2022-07-01,0.8899490901400001
2022-07-04,0.88283611014
2022-07-05,0.8813514901399999
2022-07-06,0.8616474602099998
2022-07-07,0.85679053021
2022-07-08,0.8581160002100001
2022-07-11,0.85072714021
2022-07-12,0.8506719702100001
2022-07-13,0.8426563212
2022-07-14,0.8167046412000001
2022-07-15,0.7956005911999999
2022-07-18,0.8074387411999998
2022-07-19,0.8065386912
2022-07-20,0.8054036002499999
2022-07-21,0.7974573202499999
2022-07-22,0.79785504025
2022-07-25,0.79869976025
2022-07-26,0.8120828002499999
2022-07-27,0.8082875689699998
2022-07-28,0.8082875689699998
2022-07-29,0.8082875689699998
2022-08-01,0.8082875689699998
2022-08-02,0.8082875689699998
2022-08-03,0.8102354453999998
2022-08-04,0.8196341253999997
2022-08-05,0.8172844553999997
2022-08-08,0.8219837953999997
2022-08-09,0.8266831353999997
2022-08-10,0.8196341253999997
2022-08-11,0.8243334653999997
2022-08-12,0.8266831353999996
2022-08-15,0.8313824753999997
2022-08-16,0.8313824753999997
2022-08-17,0.8384314853999997
2022-08-18,0.8337321453999996
2022-08-19,0.8384314853999998
2022-08-22,0.8501798353999996
2022-08-23,0.8454804953999998
2022-08-24,0.8384314853999998
2022-08-25,0.8360818153999997
2022-08-26,0.8360818153999997
2022-08-29,0.8384314853999998
2022-08-30,0.8431308253999996
2022-08-31,0.8362327870999997
2022-09-01,0.8294333170999997
2022-09-02,0.8316998070999997
2022-09-05,0.8407657670999996
2022-09-06,0.8452987470999995
2022-09-07,0.8435958618199998
2022-09-08,0.8427653118199998
2022-09-09,0.8508800718199997
2022-09-13,0.8560645018199996
2022-09-14,0.8511054818199996
2022-09-15,0.8575367067699995
2022-09-16,0.8330719167699996
2022-09-19,0.8334809067699995
2022-09-20,0.8263334267699994
2022-09-21,0.8334536167699994
2022-09-22,0.8255239384699995
2022-09-23,0.8264842384699995
2022-09-26,0.8147161384699995
2022-09-27,0.8218999384699996
2022-09-28,0.8146689484699996
2022-09-29,0.8035402549699997
2022-09-30,0.8213295249699996
2022-10-10,0.8204667149699995
2022-10-11,0.8011147649699996
2022-10-12,0.8088614449699995
2022-10-13,0.7973006549699997
2022-10-14,0.8043585849699996
2022-10-17,0.7953306249699996
2022-10-18,0.7898131349699995
2022-10-19,0.7833736049699996
2022-10-20,0.7812051574199996
2022-10-21,0.7812051574199996
2022-10-24,0.7812051574199996
2022-10-25,0.7812051574199996
2022-10-26,0.7812051574199996
2022-10-27,0.7812051574199996
2022-10-28,0.7812051574199996
2022-10-31,0.7812051574199996
2022-11-01,0.7812051574199996
2022-11-02,0.7812051574199996
2022-11-03,0.7812051574199996
2022-11-04,0.7812051574199996
2022-11-07,0.7812051574199996
2022-11-08,0.7812051574199996
2022-11-09,0.7812051574199996
2022-11-10,0.7812051574199996
2022-11-11,0.7812051574199996
2022-11-14,0.7812051574199996
2022-11-15,0.7812051574199996
2022-11-16,0.7812051574199996
2022-11-17,0.7809668415799996
2022-11-18,0.7758379815799997
2022-11-21,0.7788258015799997
2022-11-22,0.7882195315799996
2022-11-23,0.7809048815799996
2022-11-24,0.7802463745099995
2022-11-25,0.8075266045099994
2022-11-28,0.8216592345099994
2022-11-29,0.8742674745099994
2022-11-30,0.8937564945099995
2022-12-01,0.9174976302199993
2022-12-02,0.9215118702199995
2022-12-05,0.9281356002199994
2022-12-06,0.9200421102199994
2022-12-07,0.8926558202199993
2022-12-08,0.9026400644299994
2022-12-09,0.9159518444299994
2022-12-12,0.8933675644299994
2022-12-13,0.9006810244299998
2022-12-14,0.8939800444299996
2022-12-15,0.8933120198299995
2022-12-16,0.8998964798299997
2022-12-19,0.9095632898299996
2022-12-20,0.8819604698299996
2022-12-21,0.8840227498299995
2022-12-22,0.8839457416399995
2022-12-23,0.8978205916399995
2022-12-26,0.8937113016399995
2022-12-27,0.9272814716399994
2022-12-28,0.9306510116399992
2022-12-29,0.8996791042899992
2022-12-30,0.9080515342899993
