date,selected_count,selected_symbols
2022-02-14,8,"000020.SZ,000014.SZ,000025.SZ,000006.SZ,000034.SZ,000031.SZ,000001.SZ,000035.SZ"
2022-02-21,8,"000020.SZ,000031.SZ,000008.SZ,000014.SZ,000001.SZ,000034.SZ,000006.SZ,000035.SZ"
2022-02-28,8,"000019.SZ,000035.SZ,000014.SZ,000017.SZ,000020.SZ,000005.SZ,000008.SZ,000031.SZ"
2022-03-07,8,"000019.SZ,000014.SZ,000035.SZ,000008.SZ,000017.SZ,000005.SZ,000031.SZ,000029.SZ"
2022-03-14,8,"000019.SZ,000017.SZ,000014.SZ,000029.SZ,000031.SZ,000008.SZ,000028.SZ,000040.SZ"
2022-03-21,8,"000019.SZ,000014.SZ,000029.SZ,000017.SZ,000028.SZ,000037.SZ,000036.SZ,000005.SZ"
2022-03-28,8,"000014.SZ,000029.SZ,000019.SZ,000006.SZ,000031.SZ,000011.SZ,000036.SZ,000005.SZ"
2022-04-06,8,"000014.SZ,000011.SZ,000029.SZ,000031.SZ,000023.SZ,000006.SZ,000002.SZ,000036.SZ"
2022-04-13,8,"000002.SZ,000014.SZ,000011.SZ,000019.SZ,000006.SZ,000031.SZ,000029.SZ,000001.SZ"
2022-04-20,8,"000002.SZ,000011.SZ,000014.SZ,000006.SZ,000001.SZ,000031.SZ,000029.SZ,000034.SZ"
2022-04-27,8,"000001.SZ,000002.SZ,000014.SZ,000034.SZ,000011.SZ,000026.SZ,000005.SZ,000020.SZ"
2022-05-09,8,"000034.SZ,000039.SZ,000036.SZ,000021.SZ,000019.SZ,000026.SZ,000001.SZ,000028.SZ"
2022-05-16,8,"000029.SZ,000036.SZ,000010.SZ,000009.SZ,000014.SZ,000030.SZ,000011.SZ,000037.SZ"
2022-05-23,8,"000009.SZ,000037.SZ,000017.SZ,000036.SZ,000014.SZ,000016.SZ,000011.SZ,000019.SZ"
2022-05-30,8,"000025.SZ,000009.SZ,000029.SZ,000017.SZ,000037.SZ,000026.SZ,000010.SZ,000019.SZ"
2022-06-07,8,"000025.SZ,000009.SZ,000010.SZ,000035.SZ,000030.SZ,000016.SZ,000032.SZ,000017.SZ"
2022-06-14,8,"000025.SZ,000009.SZ,000035.SZ,000016.SZ,000037.SZ,000032.SZ,000026.SZ,000008.SZ"
2022-06-21,8,"000025.SZ,000017.SZ,000010.SZ,000037.SZ,000029.SZ,000009.SZ,000035.SZ,000016.SZ"
2022-06-28,8,"000017.SZ,000025.SZ,000010.SZ,000037.SZ,000020.SZ,000012.SZ,000009.SZ,000029.SZ"
2022-07-05,8,"000037.SZ,000017.SZ,000029.SZ,000002.SZ,000012.SZ,000025.SZ,000040.SZ,000027.SZ"
2022-07-12,8,"000017.SZ,000040.SZ,000037.SZ,000012.SZ,000002.SZ,000027.SZ,000029.SZ,000023.SZ"
2022-07-19,8,"000040.SZ,000021.SZ,000034.SZ,000030.SZ,000027.SZ,000035.SZ,000008.SZ,000032.SZ"
2022-07-26,8,"000034.SZ,000040.SZ,000035.SZ,000027.SZ,000005.SZ,000008.SZ,000021.SZ,000002.SZ"
2022-08-02,8,"000035.SZ,000034.SZ,000009.SZ,000019.SZ,000021.SZ,000005.SZ,000040.SZ,000030.SZ"
