,nav
2022-01-04,1.0
2022-01-05,1.0
2022-01-06,1.0
2022-01-07,1.0
2022-01-10,1.0
2022-01-11,1.0
2022-01-12,1.0
2022-01-13,1.0
2022-01-14,1.0
2022-01-17,1.0
2022-01-18,1.0
2022-01-19,1.0
2022-01-20,1.0
2022-01-21,1.0
2022-01-24,1.0
2022-01-25,1.0
2022-01-26,1.0
2022-01-27,1.0
2022-01-28,1.0
2022-02-07,1.0
2022-02-08,1.0
2022-02-09,1.0
2022-02-10,1.0
2022-02-11,1.0
2022-02-14,1.0
2022-02-15,1.0
2022-02-16,1.0
2022-02-17,1.0
2022-02-18,1.0
2022-02-21,1.0
2022-02-22,0.9867370006899999
2022-02-23,0.9929518606900001
2022-02-24,0.96691432069
2022-02-25,0.9895843306900001
2022-02-28,0.9866161306899999
2022-03-01,1.00207696561
2022-03-02,1.0015276056099998
2022-03-03,0.99423907561
2022-03-04,0.99132850561
2022-03-07,0.98775283561
2022-03-08,0.9670982657499998
2022-03-09,0.9537936657499999
2022-03-10,0.9591155057499998
2022-03-11,0.9591155057499998
2022-03-14,0.9421794657499998
2022-03-15,0.9126587057499997
2022-03-16,0.9269338257499997
2022-03-17,0.9351565457499998
2022-03-18,0.9416888657499999
2022-03-21,0.9491917057499998
2022-03-22,0.9727563391899998
2022-03-23,0.9727563391899998
2022-03-24,0.9727563391899998
2022-03-25,0.9727563391899998
2022-03-28,0.9727563391899998
2022-03-29,0.9727563391899998
2022-03-30,0.9727563391899998
2022-03-31,0.9727563391899998
