,nav
2022-01-04,1.0
2022-01-05,1.0
2022-01-06,1.0
2022-01-07,1.0
2022-01-10,1.0
2022-01-11,1.0
2022-01-12,1.0
2022-01-13,1.0
2022-01-14,1.0
2022-01-17,1.0
2022-01-18,1.0
2022-01-19,1.0
2022-01-20,1.0
2022-01-21,1.0
2022-01-24,1.0
2022-01-25,0.9819153886700001
2022-01-26,0.9902685086699999
2022-01-27,0.9519426686699998
2022-01-28,0.9581762086699998
2022-02-07,0.9771424286699998
2022-02-08,0.9901135303399997
2022-02-09,0.9861214903399999
2022-02-10,0.99270416034
2022-02-11,0.99875511034
2022-02-14,0.97612880034
2022-02-15,0.9813661090900001
2022-02-16,0.99045784909
2022-02-17,0.9672613190900001
2022-02-18,0.9718459990900002
2022-02-21,0.9804195290900002
2022-02-22,0.9827965546100004
2022-02-23,0.9802782446100003
2022-02-24,0.9509829246100004
2022-02-25,0.9510658346100003
2022-02-28,0.9417175146100003
2022-03-01,0.9540477746200002
2022-03-02,0.9521264346200001
2022-03-03,0.9436405446200001
2022-03-04,0.9280328746200001
2022-03-07,0.9122889946200002
2022-03-08,0.8902561696600003
2022-03-09,0.8761143496600002
2022-03-10,0.8831055796600001
2022-03-11,0.8865273796600001
2022-03-14,0.8660249596600001
2022-03-15,0.8448647272900003
2022-03-16,0.8552252472900004
2022-03-17,0.8666316872900003
2022-03-18,0.8749497072900003
2022-03-21,0.8770168772900003
2022-03-22,0.8908846140800004
2022-03-23,0.8919604140800003
2022-03-24,0.8900354940800004
2022-03-25,0.8860356540800004
2022-03-28,0.8878317840800003
2022-03-29,0.8834350986400005
2022-03-30,0.9397781786400005
2022-03-31,0.9535350186400003
