,nav
2022-01-04,1.0
2022-01-05,1.0
2022-01-06,1.0
2022-01-07,1.0
2022-01-10,1.0
2022-01-11,1.0
2022-01-12,1.0
2022-01-13,1.0
2022-01-14,1.0
2022-01-17,1.0
2022-01-18,1.0
2022-01-19,1.0
2022-01-20,1.0
2022-01-21,1.0
2022-01-24,1.0
2022-01-25,1.0
2022-01-26,1.0
2022-01-27,1.0
2022-01-28,1.0
2022-02-07,1.0
2022-02-08,1.0
2022-02-09,1.0
2022-02-10,1.0
2022-02-11,1.0
2022-02-14,1.0
2022-02-15,1.00215492603
2022-02-16,1.01143269603
2022-02-17,0.9952737060299999
2022-02-18,1.0128998460299998
2022-02-21,1.0200112160299997
2022-02-22,1.01983784851
2022-02-23,1.0056281985099997
2022-02-24,0.9880677485099995
2022-02-25,0.9857936785099997
2022-02-28,0.9803394185099996
2022-03-01,0.9856662302899994
2022-03-02,0.9835215502899995
2022-03-03,0.9774927502899994
2022-03-04,0.9685864502899995
2022-03-07,0.9622653702899996
2022-03-08,0.9429494913299996
2022-03-09,0.9293592013299994
2022-03-10,0.9337318213299994
2022-03-11,0.9396611113299994
2022-03-14,0.9183366113299994
2022-03-15,0.8716361324699994
2022-03-16,0.8910629924699995
2022-03-17,0.9039189424699996
2022-03-18,0.9186114824699998
2022-03-21,0.9468614224699996
2022-03-22,0.9542931034299995
2022-03-23,0.9455113734299995
2022-03-24,0.9480132734299994
2022-03-25,0.9558043834299994
2022-03-28,0.9552857434299995
2022-03-29,0.9680672514299994
2022-03-30,0.9899796514299993
2022-03-31,1.0053110114299995
2022-04-01,1.0240582314299995
2022-04-06,1.0674560114299994
2022-04-07,1.0251541352399993
2022-04-08,1.0270375952399997
2022-04-11,0.9865356452399996
2022-04-12,0.9806168552399996
2022-04-13,0.9731843552399999
2022-04-14,0.9946934980399996
2022-04-15,0.9845574680399997
2022-04-18,0.9718076980399999
2022-04-19,0.9861645280399997
2022-04-20,0.9699795980399997
2022-04-21,0.9345242618199997
2022-04-22,0.9081873718199995
2022-04-25,0.8440120518199995
2022-04-26,0.8230276218199997
2022-04-27,0.8260309718199997
2022-04-28,0.8294489932599998
2022-04-29,0.8534923332599997
2022-05-05,0.8518063332599997
2022-05-06,0.8352137032599997
2022-05-09,0.8346374132599996
2022-05-10,0.8393675976799996
2022-05-11,0.8371313176799996
2022-05-12,0.8403250076799994
2022-05-13,0.8537310476799994
2022-05-16,0.8653551276799994
2022-05-17,0.8656408806399992
2022-05-18,0.8798730106399992
2022-05-19,0.8788663806399992
2022-05-20,0.8728035306399993
2022-05-23,0.8741902306399992
2022-05-24,0.8481572739499992
2022-05-25,0.8594559339499993
2022-05-26,0.8661752939499995
2022-05-27,0.8732384439499994
2022-05-30,0.8657561039499996
2022-05-31,0.8836852274999993
2022-06-01,0.8885394274999995
2022-06-02,0.8983277274999993
2022-06-06,0.9200425074999994
2022-06-07,0.9158570174999993
2022-06-08,0.9113586352999993
2022-06-09,0.8981728452999994
2022-06-10,0.9086605252999993
2022-06-13,0.9027544552999993
2022-06-14,0.9083663752999995
2022-06-15,0.9292978230799993
2022-06-16,0.9470978830799992
2022-06-17,0.9523786530799991
2022-06-20,0.9723772230799993
2022-06-21,0.9730777930799993
2022-06-22,0.9762676105199991
2022-06-23,0.9945387605199992
2022-06-24,0.9752183205199992
2022-06-27,0.9604934705199992
2022-06-28,0.9664858005199992
2022-06-29,0.9481884942199993
2022-06-30,0.9352441542199992
2022-07-01,0.931637064219999
2022-07-04,0.9285426842199994
2022-07-05,0.9323908442199991
2022-07-06,0.927426628909999
2022-07-07,0.9511311689099989
2022-07-08,0.934097778909999
2022-07-11,0.9277998089099991
2022-07-12,0.9131917489099991
2022-07-13,0.933015962069999
2022-07-14,0.946873322069999
2022-07-15,0.9150607320699992
2022-07-18,0.9574837920699991
2022-07-19,0.945969732069999
2022-07-20,0.946941672929999
2022-07-21,0.9397635229299991
2022-07-22,0.9549052229299989
2022-07-25,0.933913482929999
2022-07-26,0.9409052329299988
2022-07-27,0.9408171803699988
2022-07-28,0.9441243103699988
2022-07-29,0.940604460369999
2022-08-01,0.9358360903699988
2022-08-02,0.8931614203699989
2022-08-03,0.894095655199999
2022-08-04,0.9163659751999987
2022-08-05,0.9197464251999989
2022-08-08,0.929529015199999
2022-08-09,0.937299345199999
2022-08-10,0.9406624711699991
2022-08-11,0.974858021169999
2022-08-12,0.9750152711699991
2022-08-15,0.978837031169999
2022-08-16,0.981802001169999
2022-08-17,0.998373953019999
2022-08-18,0.9881366930199987
2022-08-19,0.9969376330199989
2022-08-22,0.9860797330199988
2022-08-23,1.0049823530199988
2022-08-24,0.9966173191999991
2022-08-25,0.9712250891999988
2022-08-26,0.9606625291999987
2022-08-29,0.9650021591999988
2022-08-30,0.9607937191999989
2022-08-31,0.9196677043299987
2022-09-01,0.9195341043299988
2022-09-02,0.9369943843299988
2022-09-05,0.9422227443299985
2022-09-06,0.9612914343299986
2022-09-07,0.9584391443299983
2022-09-08,0.9432274843299986
2022-09-09,0.9417343343299985
2022-09-13,0.9544072043299984
2022-09-14,0.9413408843299986
2022-09-15,0.9278274643299984
2022-09-16,0.8884993243299985
2022-09-19,0.8712030943299987
2022-09-20,0.8804572843299984
2022-09-21,0.8903980943299986
2022-09-22,0.8838750242699985
2022-09-23,0.8690760642699986
2022-09-26,0.8519740542699986
2022-09-27,0.8681271342699983
2022-09-28,0.8496993542699984
2022-09-29,0.8353929921199985
2022-09-30,0.8253635621199984
2022-10-10,0.8270657621199984
2022-10-11,0.8200930121199984
2022-10-12,0.8369803521199984
2022-10-13,0.841608916929998
2022-10-14,0.8534294469299981
2022-10-17,0.8565424669299981
2022-10-18,0.8590929369299982
2022-10-19,0.8491485069299981
2022-10-20,0.8598286809299983
2022-10-21,0.8619581409299983
2022-10-24,0.8615920009299981
2022-10-25,0.8563085709299982
2022-10-26,0.887245000929998
2022-10-27,0.8811511040499983
2022-10-28,0.8690947640499982
2022-10-31,0.8864095740499981
2022-11-01,0.8988899740499982
2022-11-02,0.9039288940499981
2022-11-03,0.9005948965799979
2022-11-04,0.9089373665799978
2022-11-07,0.918429536579998
2022-11-08,0.9213008965799983
2022-11-09,0.918015596579998
2022-11-10,0.9035821148299982
2022-11-11,0.9075419348299981
2022-11-14,0.9028585148299982
2022-11-15,0.9234417648299983
2022-11-16,0.928815254829998
2022-11-17,0.9604705472299978
2022-11-18,0.9538028072299978
2022-11-21,0.9542825972299978
2022-11-22,0.9528947972299977
2022-11-23,0.9514855472299978
2022-11-24,0.9461310181699979
2022-11-25,0.9466756881699978
2022-11-28,0.951309738169998
2022-11-29,0.9803087781699978
2022-11-30,0.9856032081699979
2022-12-01,0.989879868289998
2022-12-02,0.9675315382899979
2022-12-05,0.995615878289998
2022-12-06,0.9932343882899978
2022-12-07,0.9878548782899979
2022-12-08,0.9770752481199981
2022-12-09,0.9822634081199983
2022-12-12,0.9763488081199982
2022-12-13,0.9719438081199983
2022-12-14,0.9665770881199983
2022-12-15,0.9738550822499983
2022-12-16,0.9707043222499981
2022-12-19,0.9823648022499982
2022-12-20,0.9455705122499981
2022-12-21,0.9495485622499984
2022-12-22,0.9479359063999983
2022-12-23,0.9635354363999984
2022-12-26,0.9736601763999981
2022-12-27,0.9914927163999986
2022-12-28,0.9795597863999984
2022-12-29,0.9567964090299985
2022-12-30,0.9693855190299985
