date,selected_count,selected_symbols
2022-02-14,10,"000048.SZ,000089.SZ,000056.SZ,000020.SZ,000090.SZ,000060.SZ,000014.SZ,000025.SZ,000006.SZ,000042.SZ"
2022-02-21,10,"000048.SZ,000020.SZ,000031.SZ,000090.SZ,000089.SZ,000008.SZ,000014.SZ,000042.SZ,000001.SZ,000034.SZ"
2022-02-28,10,"000048.SZ,000019.SZ,000035.SZ,000014.SZ,000017.SZ,000060.SZ,000056.SZ,000020.SZ,000005.SZ,000090.SZ"
2022-03-07,10,"000019.SZ,000056.SZ,000078.SZ,000060.SZ,000014.SZ,000035.SZ,000008.SZ,000017.SZ,000005.SZ,000070.SZ"
2022-03-14,10,"000078.SZ,000019.SZ,000017.SZ,000014.SZ,000029.SZ,000031.SZ,000008.SZ,000061.SZ,000028.SZ,000090.SZ"
2022-03-21,10,"000078.SZ,000019.SZ,000014.SZ,000029.SZ,000061.SZ,000055.SZ,000017.SZ,000028.SZ,000037.SZ,000036.SZ"
2022-03-28,10,"000014.SZ,000078.SZ,000029.SZ,000019.SZ,000006.SZ,000046.SZ,000031.SZ,000011.SZ,000042.SZ,000048.SZ"
2022-04-06,10,"000014.SZ,000011.SZ,000029.SZ,000031.SZ,000023.SZ,000006.SZ,000042.SZ,000069.SZ,000048.SZ,000002.SZ"
2022-04-13,10,"000002.SZ,000014.SZ,000061.SZ,000011.SZ,000019.SZ,000006.SZ,000048.SZ,000056.SZ,000042.SZ,000069.SZ"
2022-04-20,10,"000056.SZ,000048.SZ,000002.SZ,000011.SZ,000014.SZ,000061.SZ,000069.SZ,000006.SZ,000001.SZ,000031.SZ"
2022-04-27,10,"000001.SZ,000002.SZ,000014.SZ,000061.SZ,000090.SZ,000063.SZ,000034.SZ,000059.SZ,000089.SZ,000011.SZ"
2022-05-09,10,"000090.SZ,000063.SZ,000034.SZ,000061.SZ,000059.SZ,000039.SZ,000060.SZ,000036.SZ,000021.SZ,000019.SZ"
2022-05-16,10,"000090.SZ,000042.SZ,000029.SZ,000036.SZ,000078.SZ,000010.SZ,000009.SZ,000068.SZ,000014.SZ,000030.SZ"
2022-05-23,10,"000042.SZ,000009.SZ,000068.SZ,000037.SZ,000090.SZ,000049.SZ,000017.SZ,000070.SZ,000078.SZ,000036.SZ"
2022-05-30,10,"000025.SZ,000009.SZ,000029.SZ,000017.SZ,000042.SZ,000037.SZ,000026.SZ,000070.SZ,000010.SZ,000068.SZ"
2022-06-07,10,"000025.SZ,000009.SZ,000010.SZ,000035.SZ,000068.SZ,000030.SZ,000049.SZ,000016.SZ,000058.SZ,000042.SZ"
2022-06-14,10,"000025.SZ,000009.SZ,000035.SZ,000016.SZ,000037.SZ,000032.SZ,000026.SZ,000070.SZ,000059.SZ,000060.SZ"
2022-06-21,10,"000025.SZ,000017.SZ,000010.SZ,000037.SZ,000029.SZ,000009.SZ,000035.SZ,000068.SZ,000016.SZ,000020.SZ"
2022-06-28,10,"000017.SZ,000025.SZ,000010.SZ,000068.SZ,000037.SZ,000020.SZ,000049.SZ,000058.SZ,000012.SZ,000009.SZ"
2022-07-05,10,"000037.SZ,000017.SZ,000049.SZ,000029.SZ,000002.SZ,000012.SZ,000089.SZ,000025.SZ,000070.SZ,000040.SZ"
2022-07-12,10,"000017.SZ,000058.SZ,000042.SZ,000068.SZ,000040.SZ,000037.SZ,000055.SZ,000070.SZ,000049.SZ,000048.SZ"
2022-07-19,10,"000055.SZ,000049.SZ,000040.SZ,000070.SZ,000021.SZ,000034.SZ,000030.SZ,000027.SZ,000068.SZ,000048.SZ"
2022-07-26,10,"000034.SZ,000056.SZ,000055.SZ,000040.SZ,000048.SZ,000035.SZ,000027.SZ,000005.SZ,000042.SZ,000068.SZ"
2022-08-02,10,"000035.SZ,000034.SZ,000055.SZ,000056.SZ,000048.SZ,000009.SZ,000019.SZ,000021.SZ,000005.SZ,000040.SZ"
2022-08-09,10,"000035.SZ,000034.SZ,000056.SZ,000009.SZ,000021.SZ,000017.SZ,000070.SZ,000040.SZ,000032.SZ,000062.SZ"
2022-08-16,10,"000040.SZ,000056.SZ,000059.SZ,000009.SZ,000035.SZ,000034.SZ,000058.SZ,000021.SZ,000012.SZ,000017.SZ"
2022-08-23,10,"000040.SZ,000049.SZ,000059.SZ,000009.SZ,000058.SZ,000020.SZ,000035.SZ,000021.SZ,000070.SZ,000017.SZ"
2022-08-30,10,"000037.SZ,000059.SZ,000040.SZ,000049.SZ,000055.SZ,000062.SZ,000058.SZ,000016.SZ,000026.SZ,000042.SZ"
2022-09-06,10,"000059.SZ,000049.SZ,000042.SZ,000014.SZ,000055.SZ,000040.SZ,000002.SZ,000006.SZ,000031.SZ,000027.SZ"
2022-09-14,10,"000042.SZ,000014.SZ,000059.SZ,000020.SZ,000049.SZ,000012.SZ,000002.SZ,000006.SZ,000010.SZ,000055.SZ"
2022-09-21,10,"000014.SZ,000059.SZ,000042.SZ,000012.SZ,000006.SZ,000062.SZ,000068.SZ,000031.SZ,000002.SZ,000090.SZ"
2022-09-28,10,"000068.SZ,000012.SZ,000036.SZ,000002.SZ,000089.SZ,000020.SZ,000062.SZ,000028.SZ,000025.SZ,000014.SZ"
2022-10-12,10,"000034.SZ,000090.SZ,000012.SZ,000068.SZ,000066.SZ,000023.SZ,000089.SZ,000036.SZ,000040.SZ,000028.SZ"
2022-10-19,10,"000034.SZ,000068.SZ,000032.SZ,000066.SZ,000028.SZ,000023.SZ,000049.SZ,000017.SZ,000078.SZ,000070.SZ"
2022-10-26,10,"000034.SZ,000032.SZ,000066.SZ,000049.SZ,000023.SZ,000017.SZ,000028.SZ,000008.SZ,000078.SZ,000070.SZ"
