,nav
2022-01-04,1.0
2022-01-05,1.0
2022-01-06,1.0
2022-01-07,1.0
2022-01-10,1.0
2022-01-11,1.0
2022-01-12,1.0
2022-01-13,1.0
2022-01-14,1.0
2022-01-17,1.0
2022-01-18,1.0
2022-01-19,1.0
2022-01-20,1.0
2022-01-21,1.0
2022-01-24,1.0
2022-01-25,0.9895794355100002
2022-01-26,0.9693261755100001
2022-01-27,0.9471294455099999
2022-01-28,0.94813680551
2022-02-07,0.96332425551
2022-02-08,0.9780138715500002
2022-02-09,0.9756564615500002
2022-02-10,0.9864680315500001
2022-02-11,0.9777947515500001
2022-02-14,0.9536544815500001
2022-02-15,0.9720025634200001
2022-02-16,0.9850940334199999
2022-02-17,0.95555496342
2022-02-18,0.95778987342
2022-02-21,0.9677977534200001
2022-02-22,0.9792401205000002
2022-02-23,0.9742540905000002
2022-02-24,0.9457253105000002
2022-02-25,0.9458344205000003
2022-02-28,0.9368733805000002
2022-03-01,0.9506695945299999
2022-03-02,0.9472653445299999
2022-03-03,0.9377200745300002
2022-03-04,0.92471707453
2022-03-07,0.9072552945300001
2022-03-08,0.8800451583199999
2022-03-09,0.8612888083199999
2022-03-10,0.8705615583199999
2022-03-11,0.8751005583200001
2022-03-14,0.8479069483200001
2022-03-15,0.8022755169200001
2022-03-16,0.8294890269199999
2022-03-17,0.85073498692
2022-03-18,0.8534414569200002
2022-03-21,0.86369253692
2022-03-22,0.8914267200399999
2022-03-23,0.8790109800400001
2022-03-24,0.8702932900399999
2022-03-25,0.86186940004
2022-03-28,0.86118855004
2022-03-29,0.85883870349
2022-03-30,0.88306970349
2022-03-31,0.88581588349
