,ic_mean,ic_std,ic_ir,ic_positive_ratio,ic_t_stat
order_imbalance,0.0015974582719980718,0.0015993376941319639,0.9988248747335927,1.0,2.2334403175220254
effective_spread,-0.000739050970632266,0.0008017817385705157,-0.9217607923446953,0.2,-2.061119790676807
realized_volatility,0.001060842849874882,0.0014134780428421592,0.7505195112488526,0.6,1.6782126455923527
bid_ask_spread,-0.0010031187002639825,0.0021756929358653023,-0.4610571113818636,0.2,-1.030955042559539
vwap_deviation,0.0036160264302896455,0.00910167370387688,0.3972924703672238,0.6,0.8883729706899334
price_momentum,-0.18584167533566678,0.007025102044232637,-26.45394674205997,0.0,-59.152823188405186
trade_flow_intensity,0.013196210011973724,0.011833691943445789,1.1151388826952335,0.8,2.4935263460597064
micro_price,0.0013143501552764932,0.0011775405635941131,1.1161824873911834,0.8,2.4958599171014884
trade_imbalance,-0.3013331109443453,0.06953133007220397,-4.333774582356321,0.0,-9.690614565309495
depth_imbalance,0.0015974582719980722,0.0015993376941319704,0.9988248747335889,1.0,2.233440317522017
