因子,IC,多空收益,方向,Q1(低)收益,Q5(高)收益
pb,0.13553733006450053,10.104160628770401,正向,3.6851812462384648,13.789341875008866
ps,0.09689079539914609,8.687204456632728,正向,4.081526221573487,12.768730678206214
revenue_growth,0.06178765178121131,5.0466257678596,正向,6.364186623123072,11.410812390982672
pe,0.04005579493398588,2.298354847319711,正向,9.687665979503853,11.986020826823564
eps_growth,0.016892189174283596,1.916227560272131,正向,8.31640507494327,10.232632635215401
profit_growth,0.012406234660296297,1.7555909947273227,正向,8.449354146938264,10.204945141665586
current_ratio,0.01148457603991983,1.5637362259367695,正向,6.881102747977843,8.444838973914612
quick_ratio,0.00907806214241241,1.478445788338817,正向,7.112131496310815,8.590577284649632
asset_turnover,-0.0032659221888761674,0.22289653316441976,正向,7.462219564921352,7.685116098085771
inv_cash_ratio,-0.001202598913559763,0.2179053806019765,正向,8.705384036310079,8.923289416912056
ocf_to_netincome,0.0002441716238367305,-0.1309166747249152,负向,8.323705533572836,8.19278885884792
lt_debt_ratio,-0.006802130129323601,-0.3583474047761617,负向,8.194440136208717,7.836092731432555
ocf_yield,-0.015689401845662317,-1.2889458271510488,负向,8.699762591979908,7.41081676482886
roa,-0.01594070055880873,-1.583750895626862,负向,8.824772821292003,7.241021925665141
debt_ratio,-0.026126006001857185,-1.6740950699328154,负向,8.384966104775378,6.710871034842563
basic_eps_factor,-0.02308428716435086,-1.7774871317908836,负向,8.96297356074233,7.185486428951447
roe,-0.008651170527676607,-1.9236621848731068,负向,8.849529090868922,6.9258669059958144
net_profit_margin,-0.012306838937427704,-2.164128930292046,负向,8.86833496289733,6.704206032605285
operating_margin,-0.01651897726718657,-2.4324252060205858,负向,8.95031051834247,6.517885312321884
inventory_turnover,-0.017417309023805463,-2.5271558626732955,负向,8.82798094037162,6.300825077698326
ar_turnover,-0.02046679047621904,-2.998875499498584,负向,9.02526623077094,6.0263907312723575
