,IC,IC_tstat,IC_pvalue,RankIC,IC_abs,n_samples
pb,0.08621360983809169,99.97133574315208,0.0,0.0648992881348472,0.08621360983809169,1334627.0
ps,0.06854158569550323,79.36005795717568,0.0,0.06685415711830144,0.06854158569550323,1334293.0
basic_eps_factor,-0.02981044295916009,-34.44992087429633,0.0,-0.020738175398969702,0.02981044295916009,1334302.0
pe,0.02946808611529025,34.05393627337687,0.0,0.032551014719741464,0.02946808611529025,1334302.0
revenue_growth,0.024961557899785887,22.853942845521225,0.0,0.034562138116091705,0.024961557899785887,837740.0
roa,-0.02328821034285614,-26.909717334156092,0.0,-0.019951527282102473,0.02328821034285614,1334477.0
operating_margin,-0.02120656243654193,-24.501531472039094,0.0,-0.020200710148414996,0.02120656243654193,1334293.0
net_profit_margin,-0.018712576212441642,-21.618965583782142,0.0,-0.018943307958464085,0.018712576212441642,1334293.0
roe,-0.018427295867971347,-21.29134549476372,0.0,-0.02669919573399168,0.018427295867971347,1334554.0
debt_ratio,-0.01698663753619455,-19.626243608755,0.0,-0.015624992854786444,0.01698663753619455,1334550.0
ocf_yield,-0.013136867158320485,-15.17736524406465,0.0,-0.01496925168239862,0.013136867158320485,1334550.0
ar_turnover,-0.0125052854277587,-14.302272336790953,0.0,-0.035897353810067666,0.0125052854277587,1307843.0
current_ratio,0.009099195542960107,10.416836435230232,0.0,0.01487046768205927,0.009099195542960107,1310480.0
profit_growth,0.008189365401201352,7.496536311896151,6.572520305780927e-14,0.012157814727537701,0.008189365401201352,837901.0
inventory_turnover,-0.008087974669587591,-9.217147471611959,0.0,-0.03445754437376393,0.008087974669587591,1298631.0
quick_ratio,0.007949081228183335,9.0591074537852,0.0,0.012395869088584702,0.007949081228183335,1298704.0
asset_turnover,-0.007487855381138512,-8.649328064365358,0.0,-0.013671877873416702,0.007487855381138512,1334216.0
eps_growth,0.0066081650324054525,6.034663782954206,1.5936079122980118e-09,0.012688255407989903,0.0066081650324054525,833924.0
lt_debt_ratio,-0.004670691780753465,-5.346884631669511,8.949592666951389e-08,0.0028819619058119673,0.004670691780753465,1310480.0
inv_cash_ratio,-0.003452120226289564,-3.9876126473698843,6.67450682378945e-05,-0.0017022186339154092,0.003452120226289564,1334288.0
ocf_to_netincome,0.0015627194712425495,1.805299674867296,0.07102802577380407,-0.003941187573354537,0.0015627194712425495,1334554.0
