因子,IC,多空收益,方向,Q1(低)收益,Q5(高)收益
pb,0.08621360983809169,3.8997384913731876,正向,1.710388960325031,5.610127451698219
ps,0.06854158569550323,3.627349684362219,正向,1.689569453804792,5.316919138167011
revenue_growth,0.024961557899785887,1.1183310970938096,正向,3.2481492313973,4.36648032849111
pe,0.02946808611529025,0.7273243844518357,正向,4.312527771230316,5.039852155682152
quick_ratio,0.007949081228183335,0.6122096314937514,正向,3.119626720923354,3.731836352417105
current_ratio,0.009099195542960107,0.5644374268930142,正向,3.0582134761296,3.6226509030226146
profit_growth,0.008189365401201352,0.288190025393429,正向,3.6289742715536435,3.9171642969470724
eps_growth,0.0066081650324054525,0.20636337872190838,正向,3.6164157156099876,3.822779094331896
ocf_to_netincome,0.0015627194712425495,0.08679443361174974,正向,3.4824258584910392,3.569220292102789
inv_cash_ratio,-0.003452120226289564,0.03463681706863744,正向,3.7578304165808505,3.792467233649488
lt_debt_ratio,-0.004670691780753465,-0.1451778539708959,负向,3.5107581342656777,3.3655802802947816
asset_turnover,-0.007487855381138512,-0.34662020465118376,负向,3.6245213019192675,3.2779010972680838
ocf_yield,-0.013136867158320485,-0.6611000589754834,负向,3.6611957329154134,3.00009567393993
debt_ratio,-0.01698663753619455,-0.7374042774128425,负向,3.655895154412863,2.9184908770000204
roa,-0.02328821034285614,-1.111824377400608,负向,4.043103982668756,2.931279605268147
net_profit_margin,-0.018712576212441642,-1.2304525834207367,负向,4.068278399291724,2.8378258158709877
inventory_turnover,-0.008087974669587591,-1.2499910018982576,负向,4.063240485246441,2.813249483348183
roe,-0.018427295867971347,-1.251575641464297,负向,3.9988423347090776,2.7472666932447805
basic_eps_factor,-0.02981044295916009,-1.316568440303616,负向,4.063834366625386,2.7472659263217696
operating_margin,-0.02120656243654193,-1.346204365377945,负向,4.142480346708316,2.796275981330371
ar_turnover,-0.0125052854277587,-1.4462594046115913,负向,4.155704881323956,2.7094454767123652
