,IC
order_imbalance_1d,-0.0361861786749716
effective_spread_1d,-0.008938876679557277
realized_volatility_1d,0.022439700813760427
bid_ask_spread_1d,-0.0060755652818921205
vwap_deviation_1d,-0.010883716077416691
price_momentum_1d,0.0041594389643807295
trade_flow_intensity_1d,0.025249541966727445
micro_price_1d,0.004426391349511051
trade_imbalance_1d,-0.0021565411551760466
depth_imbalance_1d,-0.03618617867497157
order_imbalance_5d,-0.006227769917675077
effective_spread_5d,0.010338343753753696
realized_volatility_5d,-0.0015047614244232813
bid_ask_spread_5d,-0.013990296990282168
vwap_deviation_5d,-0.010920096674935653
price_momentum_5d,0.035392673411800996
trade_flow_intensity_5d,0.034917297562568644
micro_price_5d,-0.01928305556410175
trade_imbalance_5d,0.016041562852185248
depth_imbalance_5d,-0.006227769917675079
order_imbalance_10d,-0.011471521655324298
effective_spread_10d,0.0014498043584624208
realized_volatility_10d,-0.011310698152111345
bid_ask_spread_10d,-0.02371993218910346
vwap_deviation_10d,-0.02377593373969766
price_momentum_10d,0.011768850352140857
trade_flow_intensity_10d,0.013691554924300919
micro_price_10d,-0.010729135606081056
trade_imbalance_10d,0.012454809963430099
depth_imbalance_10d,-0.011471521655324302
order_imbalance_20d,-0.04476265179580692
effective_spread_20d,-0.010288233606583734
realized_volatility_20d,-0.028083575765139417
bid_ask_spread_20d,-0.024754314578456064
vwap_deviation_20d,-0.03408740314078429
price_momentum_20d,0.03918854858768268
trade_flow_intensity_20d,-0.0001402498014549182
micro_price_20d,0.01041114784580732
trade_imbalance_20d,0.02463455613978096
depth_imbalance_20d,-0.044762651795806914
