,IC,RankIC,IC_abs,IC_pvalue,n_samples
order_imbalance,-0.0361861786749716,-0.025565060483917452,0.0361861786749716,3.40068551096806e-09,26668.0
depth_imbalance,-0.03618617867497157,-0.025565060483917452,0.03618617867497157,3.40068551096806e-09,26668.0
trade_flow_intensity,0.025249541966727445,0.015502980315291463,0.025249541966727445,3.7267229880733055e-05,26668.0
realized_volatility,0.022439700813760427,-0.00122889069672454,0.022439700813760427,0.0002475618760253706,26668.0
vwap_deviation,-0.010883716077416691,-0.045532401759036126,0.010883716077416691,0.0755160736258027,26668.0
effective_spread,-0.008938876679557277,-0.0051603499977700895,0.008938876679557277,0.14436988107275184,26668.0
bid_ask_spread,-0.0060755652818921205,0.008030149572645489,0.0060755652818921205,0.32113747523339353,26668.0
micro_price,0.004426391349511051,-0.011464959042968825,0.004426391349511051,0.46979391356247424,26668.0
price_momentum,0.0041594389643807295,-0.030724044644307832,0.0041594389643807295,0.4969974517291389,26668.0
trade_imbalance,-0.0021565411551760466,0.018832942331489903,0.0021565411551760466,0.7247224713694438,26668.0
