因子,IC,多空收益,方向,Q1收益,Q5收益
realized_volatility,0.022439700813760427,0.27818377342125983,正向,-0.05671192186201128,0.22147185155924853
trade_flow_intensity,0.025249541966727445,0.2197864675952637,正向,-0.013754876199332994,0.20603159139593072
trade_imbalance,-0.0021565411551760466,0.17494077430764504,正向,0.00394188551301884,0.17888265982066387
bid_ask_spread,-0.0060755652818921205,0.03282908139838861,正向,0.11358560474429957,0.14641468614268818
effective_spread,-0.008938876679557277,-0.07560175133556073,负向,0.15788614864420106,0.08228439730864033
price_momentum,0.0041594389643807295,-0.08680681646052153,负向,0.27113940607575887,0.18433258961523735
order_imbalance,-0.0361861786749716,-0.17358735298596917,负向,0.19151901736810226,0.017931664382133092
depth_imbalance,-0.03618617867497157,-0.17358735298596917,负向,0.19151901736810226,0.017931664382133092
micro_price,0.004426391349511051,-0.19183580335754452,负向,0.19870435357246855,0.006868550214924037
vwap_deviation,-0.010883716077416691,-0.3734672546289919,负向,0.36916030219259655,-0.004306952436395365
